type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,DA:96:5D:BC:A5:95,-43,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,3343817,0,196,0,0,3.7265,128,[-60 -64 11 0 21 9 21 9 18 9 18 9 15 7 14 6 12 4 10 1 9 -1 9 -4 9 -6 10 -8 12 -9 13 -10 15 -10 15 -8 16 -6 16 -4 15 -2 13 -1 12 0 9 1 8 1 7 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 1 7 1 6 2 6 3 6 5 8 6 9 7 11 7 13 7 14 6 16 5 17 4 18 3 17 2 17 1 15 2 14 2 11 4 11 6 9 8 7 10 6 13 5 16 5 18 5 20 6 ]
CSI_DATA,STA,DA:96:5D:BC:A5:95,-44,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,3394494,0,124,0,0,3.77661,128,[124 64 7 0 6 -35 8 -34 8 -31 8 -29 7 -25 4 -22 2 -19 -2 -15 -6 -14 -10 -14 -13 -14 -16 -15 -19 -18 -19 -20 -18 -23 -14 -23 -12 -24 -9 -23 -6 -22 -4 -19 -2 -16 -2 -13 -3 -11 -4 -10 -5 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -6 13 -4 12 -4 10 -4 9 -6 9 -8 10 -10 12 -13 14 -14 17 -16 20 -16 22 -15 24 -14 25 -12 24 -11 22 -9 21 -9 17 -8 16 -10 13 -12 9 -14 6 -17 4 -20 3 -25 2 -29 2 -33 ]
CSI_DATA,STA,DA:96:5D:BC:A5:95,-40,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,6693338,0,196,0,0,7.07503,128,[-60 -64 11 0 11 -13 11 -12 11 -11 10 -10 9 -9 7 -8 5 -8 2 -7 0 -7 -2 -8 -3 -9 -5 -10 -5 -12 -5 -13 -4 -14 -2 -14 -1 -13 0 -12 2 -11 2 -10 2 -8 2 -6 1 -5 0 -5 -1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 5 2 4 2 4 1 5 0 6 -1 7 -1 8 -1 9 -1 11 -1 12 0 13 1 13 2 12 3 11 3 10 3 9 3 8 1 8 0 7 -1 7 -4 6 -6 7 -8 7 -10 8 -12 9 -13 ]
