CSI_DATA,PA,MAC,RSSI,Rate,Sig_Mode,MCS,Bandwidth,Smoothing,Not_Sounding,Aggregation,STBC,FEC_Coding,SGI,Noise_Floor,AMPDU_CNT,Channel,Secondary_Channel,Local_Timestamp,Ant,Sig_Len,RX_State,Real_Time_Set,Real_Timestamp,Len,CSI_Data,Timestamp
type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,2026-04-06_01-34-19-248
CSI_DATA,STA,00:27:E3:29:E3:00,-64,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,27423,0,226,0,0,0.409557,128,[-30 32 14 0 -3 8 -4 8 -4 8 -4 7 -4 5 -4 4 -2 2 -1 -1 0 -3 1 -6 2 -9 3 -11 3 -14 5 -17 5 -19 7 -22 7 -24 7 -26 8 -29 9 -30 9 -32 10 -33 9 -33 10 -32 10 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 7 9 9 12 10 15 12 17 14 20 14 22 14 24 15 25 16 27 16 27 17 28 16 29 16 29 15 29 14 28 13 26 13 23 12 21 10 17 9 15 9 11 9 8 9 5 9 3 9 ],2026-04-06_01-34-19-284
CSI_DATA,STA,00:27:E3:29:E3:01,-64,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,32543,0,217,0,0,0.447947,128,[-39 -112 13 0 -8 5 -8 5 -9 3 -8 3 -7 2 -5 1 -4 0 -2 -1 1 -2 4 -4 5 -5 8 -7 11 -8 13 -9 16 -11 18 -12 20 -13 22 -15 24 -16 25 -17 27 -18 28 -18 28 -18 28 -18 27 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 5 1 9 2 12 5 16 6 19 9 21 10 24 11 25 12 26 13 27 14 28 15 28 16 29 16 30 17 29 16 28 16 27 16 25 14 23 12 21 10 18 7 16 5 13 1 12 -1 9 -3 9 ],2026-04-06_01-34-19-316
CSI_DATA,STA,B6:0C:32:B4:4C:23,-44,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4739107,0,196,0,0,5.12114,128,[-60 -64 11 0 -7 17 -7 22 -6 25 -7 29 -7 30 -8 31 -8 30 -8 26 -8 23 -7 20 -6 16 -4 12 -1 8 3 5 8 3 11 1 15 2 18 3 19 5 20 8 18 10 16 12 13 14 9 14 5 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -17 -2 -20 0 -20 2 -21 4 -20 5 -19 6 -17 5 -15 3 -13 0 -11 -4 -10 -8 -9 -12 -9 -16 -10 -19 -11 -22 -12 -24 -13 -25 -13 -28 -15 -28 -15 -26 -15 -24 -13 -22 -11 -19 -8 -16 -4 -14 1 ],2026-04-06_01-34-23-993
CSI_DATA,STA,B6:0C:32:B4:4C:23,-44,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4780106,0,124,0,0,5.16152,128,[124 64 7 0 18 4 22 3 26 1 29 1 31 1 32 2 33 2 29 3 27 3 25 3 21 3 18 3 14 2 10 0 6 -3 3 -6 1 -10 1 -13 1 -16 3 -18 5 -20 8 -20 11 -18 13 -16 15 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 7 -19 5 -19 3 -19 1 -17 0 -15 -1 -13 0 -11 2 -9 4 -7 7 -6 11 -6 15 -6 18 -7 21 -7 24 -9 25 -9 27 -9 27 -11 30 -10 29 -9 27 -8 25 -6 21 -3 18 0 15 3 11 ],2026-04-06_01-34-24-32
CSI_DATA,STA,B6:0C:32:B4:4C:23,-44,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,7828819,0,196,0,0,8.21062,128,[-60 -64 11 0 13 16 17 17 22 20 25 21 26 23 27 24 27 25 23 22 21 22 18 20 15 17 12 13 9 9 8 4 7 -2 7 -6 9 -10 11 -14 14 -16 17 -15 19 -14 22 -11 22 -7 22 -3 20 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 -6 -21 -9 -21 -13 -19 -14 -17 -15 -15 -15 -13 -13 -11 -11 -11 -7 -11 -3 -13 1 -15 5 -17 9 -20 12 -22 14 -25 16 -27 17 -28 18 -31 19 -30 19 -29 18 -26 17 -23 16 -18 14 -12 14 -5 13 ],2026-04-06_01-34-27-83
