"type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-23,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,1521017,0,196,0,0,1.90209,128,[-60 -64 11 0 -5 8 -4 14 -3 20 -1 25 -1 28 0 31 0 33 0 31 0 30 0 29 -1 26 -2 22 -2 18 -2 13 -1 7 0 2 2 -3 4 -7 7 -11 9 -13 12 -14 15 -13 17 -11 19 -9 20 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 19 3 20 5 19 7 18 8 16 8 14 8 11 7 8 4 6 1 2 -3 0 -7 -2 -12 -4 -16 -5 -20 -8 -24 -9 -26 -10 -29 -12 -32 -12 -32 -13 -32 -12 -29 -12 -26 -11 -22 -10 -16 -8 -10 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-25,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,1558278,0,124,0,0,1.9387,128,[124 64 7 0 0 9 4 14 8 18 12 22 14 25 16 27 17 29 16 26 16 26 15 25 13 23 10 20 8 16 5 12 3 6 0 1 0 -4 0 -9 0 -13 1 -17 3 -19 6 -20 8 -20 11 -19 14 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 -8 19 -6 20 -4 21 -2 20 0 18 0 17 1 13 1 9 0 6 -1 1 -4 -3 -7 -7 -10 -11 -12 -14 -16 -18 -18 -20 -20 -21 -21 -25 -24 -26 -23 -26 -23 -24 -21 -23 -18 -20 -15 -16 -10 -11 -5 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-23,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4840726,0,196,0,0,5.22152,128,[-60 -64 11 0 3 9 8 12 14 16 18 19 21 21 23 23 25 24 23 22 22 21 21 20 18 18 15 15 11 12 7 9 4 4 1 -1 -1 -6 -2 -11 -2 -15 -2 -18 0 -20 2 -22 5 -22 8 -20 11 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -14 15 -13 17 -12 19 -10 19 -9 18 -8 17 -6 14 -5 11 -4 6 -4 1 -4 -4 -5 -9 -7 -13 -8 -18 -10 -22 -11 -25 -12 -27 -13 -32 -15 -32 -14 -32 -13 -30 -12 -28 -10 -24 -7 -19 -5 -13 -1 ]"
