"type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-27,10,0,0,0,0,0,0,0,0,0,-97,0,6,0,3270335,0,196,0,0,3.65035,128,[-60 -64 11 0 8 -2 14 0 19 1 25 0 29 0 32 -3 34 -4 31 -5 31 -7 29 -8 27 -8 24 -7 20 -5 15 -3 11 -1 5 2 0 5 -5 7 -9 9 -13 10 -15 11 -18 11 -20 10 -21 9 -22 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 19 1 21 0 21 -2 22 -2 21 -3 19 -4 17 -4 13 -4 9 -4 5 -4 0 -4 -5 -5 -11 -5 -15 -7 -19 -9 -23 -11 -25 -13 -27 -16 -30 -18 -30 -19 -28 -19 -25 -19 -22 -17 -19 -14 -14 -10 -10 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-97,0,6,0,3311426,0,124,0,0,3.69078,128,[124 64 7 0 -9 4 -15 5 -21 6 -26 9 -28 12 -31 14 -30 16 -27 16 -26 17 -23 16 -20 14 -17 11 -13 8 -9 3 -6 -2 -2 -6 1 -11 3 -15 6 -18 8 -20 9 -21 11 -21 12 -20 13 -17 14 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -15 -6 -18 -5 -21 -5 -22 -4 -24 -3 -24 -2 -23 -2 -20 -1 -17 0 -13 1 -8 3 -3 4 2 7 8 9 12 12 16 15 18 18 20 23 22 25 22 26 20 26 18 24 15 22 12 17 9 11 6 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-97,0,6,0,6547790,0,196,0,0,6.92753,128,[-60 -64 11 0 -1 8 -3 14 -3 20 -4 24 -3 29 -2 32 0 34 2 31 3 31 4 29 4 26 3 23 2 18 1 14 -2 8 -4 3 -6 -2 -8 -6 -10 -10 -11 -14 -12 -17 -11 -19 -11 -20 -9 -21 -6 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 -1 -21 -3 -22 -5 -22 -6 -22 -7 -20 -7 -18 -7 -15 -7 -11 -6 -6 -5 -1 -5 4 -4 9 -3 14 -3 18 -4 22 -5 25 -6 28 -9 31 -12 31 -13 29 -15 27 -16 24 -15 20 -14 16 -11 11 -8 ]"
