"type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4982606,0,80,0,0,5.52491,128,[80 -128 4 0 7 -5 12 -5 17 -6 22 -8 25 -10 27 -13 28 -15 25 -15 23 -16 22 -17 20 -16 17 -15 14 -12 12 -8 9 -4 6 1 4 5 1 8 -1 12 -3 15 -4 17 -5 18 -7 19 -9 18 -10 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 17 -6 18 -7 18 -9 19 -9 18 -9 17 -9 14 -8 12 -7 8 -7 4 -6 0 -5 -4 -4 -9 -5 -13 -6 -17 -7 -21 -9 -23 -11 -25 -15 -28 -17 -27 -18 -26 -18 -23 -18 -20 -17 -16 -14 -13 -9 -10 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-27,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4982957,0,108,0,0,5.56666,128,[108 64 6 0 -10 3 -15 2 -21 2 -27 2 -30 4 -34 6 -35 8 -32 10 -31 11 -29 12 -27 12 -23 11 -20 8 -16 5 -11 1 -7 -4 -3 -7 1 -11 4 -15 6 -17 8 -19 11 -20 12 -20 14 -19 15 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -19 8 -20 10 -21 11 -20 12 -20 12 -18 11 -16 10 -13 9 -9 7 -6 6 -1 4 4 3 9 2 14 2 19 3 23 5 26 7 28 10 32 12 32 14 30 15 28 15 25 14 21 11 17 7 13 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-27,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4983307,0,116,0,0,5.60685,128,[116 -64 6 0 8 -5 15 -5 19 -4 25 -7 29 -9 31 -11 32 -14 29 -14 28 -16 27 -16 24 -15 21 -14 18 -11 14 -7 11 -3 5 2 3 6 0 10 -3 14 -5 17 -8 19 -9 19 -11 20 -13 19 -15 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 18 -7 20 -8 20 -10 21 -10 19 -10 19 -10 16 -9 14 -8 10 -7 5 -6 0 -5 -5 -5 -10 -5 -15 -6 -20 -7 -23 -9 -27 -11 -27 -16 -32 -17 -30 -19 -29 -19 -27 -19 -23 -17 -20 -14 -16 -10 -12 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,4983562,0,116,0,0,5.64956,128,[116 -64 6 0 7 4 10 9 13 13 16 16 19 18 22 18 25 18 24 15 25 13 24 11 22 10 20 9 16 8 11 7 7 6 1 6 -4 5 -8 5 -12 5 -16 5 -18 4 -19 4 -21 2 -21 1 -20 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 4 -20 3 -21 2 -21 1 -21 0 -20 0 -18 -1 -16 -2 -12 -2 -8 -3 -4 -5 1 -6 5 -8 9 -10 12 -13 14 -16 15 -19 16 -21 17 -26 15 -27 14 -28 11 -27 9 -25 7 -22 5 -17 5 -12 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5038062,0,196,0,0,5.68949,128,[-60 -64 11 0 -3 8 -8 11 -12 15 -14 19 -14 23 -15 26 -14 28 -11 26 -9 27 -8 26 -7 23 -6 20 -6 16 -5 12 -6 6 -7 1 -7 -4 -8 -8 -9 -12 -9 -15 -9 -17 -8 -19 -7 -20 -5 -20 -3 -20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -16 -7 -18 -6 -20 -6 -21 -5 -21 -4 -20 -4 -19 -2 -16 -1 -13 1 -9 2 -5 5 -1 7 3 10 6 13 9 16 11 20 12 22 12 28 12 29 11 29 8 28 6 25 4 22 3 17 2 13 3 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-23,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5209266,0,133,0,0,5.73023,128,[-123 -48 7 0 -6 7 -5 12 -5 18 -5 22 -5 25 -5 28 -5 30 -4 28 -5 27 -5 26 -6 23 -6 20 -5 16 -4 12 -2 7 -1 3 2 -1 4 -4 8 -7 11 -8 13 -8 16 -7 18 -5 19 -2 18 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 -2 18 0 18 2 18 4 17 5 15 5 13 5 10 4 7 2 4 -1 2 -4 -1 -8 -2 -12 -4 -16 -6 -19 -7 -22 -8 -24 -9 -26 -10 -29 -11 -30 -10 -29 -11 -27 -10 -25 -9 -21 -9 -16 -9 -10 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-30,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5211553,0,113,0,0,5.77048,128,[113 -112 6 0 16 4 25 -1 33 -5 40 -9 47 -12 52 -14 54 -16 50 -14 51 -15 48 -14 45 -11 40 -9 33 -7 26 -5 16 -3 7 -2 -2 -4 -10 -6 -16 -10 -21 -14 -24 -19 -24 -24 -23 -29 -18 -32 -12 -34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -29 -13 -32 -10 -35 -7 -35 -4 -34 -2 -31 0 -27 -1 -22 -2 -15 -5 -8 -9 -2 -14 5 -19 11 -24 16 -29 21 -34 25 -36 28 -39 31 -43 36 -44 37 -41 37 -38 35 -34 32 -28 29 -21 24 -13 20 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5430767,0,80,0,0,5.81466,128,[80 -128 4 0 -5 -8 -5 -13 -5 -19 -7 -23 -9 -26 -11 -29 -13 -30 -15 -26 -16 -26 -17 -25 -16 -22 -14 -19 -12 -17 -9 -13 -5 -11 0 -7 4 -5 8 -3 11 0 14 1 16 3 18 5 18 7 18 8 17 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 5 18 6 19 8 18 9 17 9 16 9 13 9 10 8 7 7 3 5 -1 5 -7 4 -11 3 -15 3 -19 4 -22 6 -24 7 -26 9 -29 13 -29 15 -27 16 -24 17 -21 16 -18 15 -15 11 -11 7 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5430978,0,100,0,0,5.85511,128,[100 -64 5 0 -7 6 -12 8 -17 9 -21 12 -23 15 -24 18 -25 20 -22 21 -21 21 -19 21 -17 20 -15 18 -13 14 -11 11 -9 6 -7 1 -6 -4 -5 -8 -4 -12 -3 -15 -2 -18 0 -20 1 -21 3 -21 5 -20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -19 1 -21 2 -21 3 -21 4 -20 4 -19 4 -17 4 -14 5 -10 4 -6 4 -1 5 4 6 9 7 12 9 16 11 18 13 20 16 21 20 23 22 22 23 20 23 17 22 15 19 12 15 9 10 6 ]"
"CSI_DATA,STA,72:91:97:B8:0A:6B,-21,10,0,0,0,0,0,0,0,0,0,-98,0,6,0,5431445,0,208,0,0,5.89539,128,[-48 -128 12 0 5 7 5 12 6 18 8 22 10 25 12 27 15 28 15 25 16 24 17 22 16 19 14 17 12 15 8 12 4 10 -1 6 -5 4 -10 2 -13 0 -16 -2 -18 -3 -19 -5 -20 -7 -20 -8 -19 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 -4 -20 -6 -20 -7 -20 -8 -19 -8 -18 -9 -16 -8 -13 -8 -9 -7 -5 -6 0 -6 4 -5 9 -5 13 -5 17 -7 20 -8 22 -10 24 -13 27 -16 26 -18 25 -19 22 -20 19 -19 16 -17 12 -14 9 -9 ]"
