Timestamp,tap_0,tap_1,tap_2,tap_3,tap_4,tap_5,tap_6,tap_7,tap_8,tap_9,tap_10,tap_11,tap_12,tap_13,tap_14,tap_15,tap_16,tap_17,tap_18,tap_19,tap_20,tap_21,tap_22,tap_23,tap_24,tap_25,tap_26,tap_27,tap_28,tap_29,tap_30,tap_31,tap_32,tap_33,tap_34,tap_35,tap_36,tap_37,tap_38,tap_39,tap_40,tap_41,tap_42,tap_43,tap_44,tap_45,tap_46,tap_47,tap_48,tap_49,tap_50,tap_51,tap_52,tap_53,tap_54,tap_55,tap_56,tap_57,tap_58,tap_59,tap_60,tap_61,tap_62,tap_63
2025-05-07_20-17-52-532,3.3000946956110218,27.958586077608384,6.769596858858399,8.010715973778328,2.6256633411472228,2.2666029150590736,2.5017716467908726,2.0720478279770465,1.5565503999881782,1.1634986795452815,1.1181259212010612,1.0518227836222827,1.967349821409605,0.982158175249783,0.8406667874878722,1.5801366863757937,1.6094508477272613,0.975971323722299,0.23072816004083996,1.7506520111452275,0.9795924161687037,0.45427291254592544,1.1608852907790734,0.4861490862435369,0.6368537539888978,0.6755435021190375,1.053909603427493,0.6590681938335923,0.15906812174142765,0.5019751592432039,0.4973251737082433,1.2190679365505335,0.6680486977009985,0.8550150958445284,0.1329234762491481,0.4363519585843044,1.3391353588204846,2.286415432516283,0.516584153300081,1.5717317625633187,0.06251931538846676,0.9665285705329978,1.0312021534382447,0.879018918065337,0.09844725269901568,2.019137052483211,0.336392392780802,2.2151717392967285,0.37565047750535335,1.1822107386414977,0.37094714459571654,2.1387359269427955,1.8638940307584817,0.9114608911067632,1.3482685369351395,1.819186028110501,2.578775166339681,1.337163336204288,1.75576544303694,4.270621992929081,2.420777798824433,7.320799149514895,4.689934985255785,25.998008685654284
2025-05-07_20-17-52-535,9.345957619640965,9.048942566864259,5.967777633073594,2.9729007051867904,1.515206011753004,0.7954059412712308,1.0387395568488338,1.1546899389799967,1.1949797688156105,0.8031448114559561,0.8073701828207152,0.4691850989436985,0.264704957798895,0.4092996508478258,0.7337383246611315,0.7560557870615818,0.223715954113693,0.5652964354578932,0.7750107900966735,0.7707712653127713,0.217847193540956,0.32476214838607637,0.345309684272597,0.5566141642244374,0.3048141724635787,1.4312518408605894,0.2648962608091202,0.3846249852079164,0.9279055229077988,0.2624939120878887,0.5102745821385948,1.575243228841901,0.33108781406901705,0.5896133755662533,0.30872552744365095,0.9358531195521083,0.4802784316756211,0.5567986216326853,0.328770491979197,0.2893246854071892,0.7310442502826969,1.1610704100269125,0.3642792082204578,0.19620866140355914,0.6236518187080823,1.0934459877440572,0.19374746407866372,0.6709608253836249,1.46783548656687,0.5206853034547104,0.421768204739212,0.3911253358047247,0.825171971640512,0.14560618021134408,0.926398673144931,0.8196792520315045,1.5824842144600826,0.8025017296776685,0.29121627694143637,1.1876347464204662,1.5017244578803368,1.5496581026395975,5.890701022280282,8.80849294730929
2025-05-07_20-17-52-560,9.707854121309458,4.323710470837594,4.081061773272251,2.2674851725167864,1.6867375891069571,0.5956060246556182,0.6502402414322869,0.6661527769075355,0.9483771435036508,1.102320326176011,1.5918260727645095,0.38197708731445684,1.126176490038312,0.5523199219863675,1.0139920832551408,0.5420370663744809,1.049669776941777,0.8162186126333132,0.6883886153382937,1.4175980796746956,1.3792389685284268,0.4628104532482553,0.8703870962605961,0.5635856800595854,0.4641693503866081,0.23034444511777835,0.25581975409952484,0.7074559291228238,1.0400907721305996,0.20026502284730127,1.5124566588197994,1.277293283961873,1.0275739404660862,1.2332445944767232,1.2985277777977846,0.03337493427040791,0.8372327363617609,0.3119562469531733,0.7731635366234447,0.3844120823265156,1.1723935239201282,0.7077891506723117,0.725442666319936,0.13577283049911723,1.2111349726578846,0.7406320201582263,1.1929262333260349,0.471416615663979,1.1722915926189186,0.8191237520212215,0.9593225020012318,0.8065900666660226,0.6701630069247997,0.6103278515076431,0.4990823481885674,0.2099652482866008,0.7679339785500275,1.289477401863953,0.280024882488,1.2568427538367637,1.6578659368352875,1.794390041139494,4.871952783389608,5.1512686120217746
2025-05-07_20-17-52-566,6.338321260889983,8.518496397434955,3.6361183744321,3.583700299801152,1.1934989316186513,0.6135580582786124,0.17567640819764763,1.2995773141660631,0.26192921873670577,1.1685654473469225,1.2025060917686927,0.7599788473073285,0.4186967869553281,0.4719000334523037,0.5944546752887753,0.4158708453865694,0.489139870078079,0.7041827313595995,0.8039279066618583,0.5808784199780486,0.048055625724800315,0.6433993347475035,0.4174322743225512,0.4406666489542968,0.5689272410154825,0.5895104881030466,0.37124387729066893,0.17047192802914982,0.8365501416177303,0.16340354324511025,0.4332921595480819,0.7360514007523917,0.8538172557696406,0.7638257478189823,0.8526269692421905,0.5191573537092043,0.3176514581590829,0.6664623506205573,0.4235134992344997,0.9742134134683048,0.7823408124800719,0.3859384264616564,0.43443455759796173,0.801316107168707,0.2738886627267539,0.3982604917465179,0.7588710402884541,0.8013573963287954,1.4429245475768997,0.48729602293455804,0.3477287614361103,1.1229357264028124,0.8464568111786596,1.2206171648947284,0.5107863827124259,0.45442574028638755,0.2286883401717524,0.7829994407705184,1.8006519640942733,0.4146217585664668,1.1114894226138146,1.5268170831813161,3.4572332465240723,7.693105807495853
2025-05-07_20-17-52-571,8.822204873393328,2.3115737944459087,3.0105014338646674,2.4454817878468753,1.772825418624648,1.827948570949153,0.8068269238491699,0.30554767776426883,1.7799368113603478,0.7175400354732581,0.36373867938243265,0.8054534662838492,1.601207390878464,0.3098532963914131,1.3875077027632885,0.4609686472019004,0.782654986648012,0.7396699478848386,0.6614507049132559,0.14270904466525855,1.6764442363937795,0.734672989195935,0.8563555975176631,0.39988429259482966,0.824032153149191,0.20845968040416749,0.5786852070177375,0.7398647940473776,0.8556082146930758,0.48538059378256904,1.1269633582377243,1.3126891940149488,0.6594046201877872,0.7723505178212119,0.7850420511929275,1.0398567163532517,1.127598685408705,0.8088177763347889,0.8689848841569882,0.8375524423839625,0.7688317704897203,1.187346670285513,0.49571827587616707,0.8963725819610884,0.5537830282586074,0.29387982673719193,0.8118217408291409,0.7348307873168478,0.8287144128860076,0.41157282258309624,0.7893558092471351,0.6268331487651787,0.9974329674243678,0.6354482380095415,0.8651525250265176,0.24304496362536596,0.5432238068478852,0.8945140116374201,0.8162181609088714,0.7615864985448967,0.6494673929140976,1.4264106529264946,6.722888987271648,2.89241790513639
2025-05-07_20-17-52-620,7.006449316968617,13.021313545894039,0.9910271699303136,2.8982455264176896,2.096777849869548,0.7504295738532528,0.8549981632931134,1.6523656090461523,0.6595681508576483,1.7110373364619589,0.10442679501306541,0.5199837893165171,0.9859195579181484,0.5284419131408328,0.6501126706603424,0.511585220402748,0.6434768838116876,0.6151114133114439,1.1599422030593363,0.7778956450100507,0.17054869118864188,0.2076633966499938,0.7516290998786554,0.5468699846566407,0.7197919039676048,0.19362085912105087,0.7549702249570628,0.2735891483107739,0.6109021200194757,0.17759171074659913,0.45832250227232935,0.6293919126080979,0.20846350100197397,0.3950106077311873,1.0782368474537773,0.9656398149991923,0.4640892053823974,0.4952438112250031,0.5818213349051915,0.7096955241554267,0.058706191106411953,1.1633445648257654,1.0223698267315091,1.0296383027280953,1.1130254199981566,0.147583789729648,0.3532237649166132,0.24917709679107283,1.1008696846130335,0.2683522722111301,0.6192809238048201,1.168118684467673,0.35310338666998176,1.3064892377328503,0.40651793942179504,1.356304081088973,0.5883514489509568,1.5462607647257753,1.1058150222920282,0.7228602196558268,3.3086531458447137,4.290735320996244,1.5415510557273941,10.691240498628359
2025-05-07_20-17-52-626,6.764542349865584,11.129203119297896,1.7512995511789307,3.94898073513277,1.6713063130711958,0.401304808140541,1.1896947592410565,1.0598956495938638,0.43047782087919234,0.479935078371525,0.7486169923602034,0.6616854029402243,0.9898418657633707,0.5923388782938481,0.9555414253752496,0.3877973316474613,0.5873420665378907,0.5298829650348075,0.5994953258198659,0.7529421035629188,0.3067419956266368,0.33674250879520196,0.6537783636966823,1.0055927648520542,0.1589540999735863,0.45598573348647825,1.0659342972666555,0.6075473066278437,0.30968830451285567,0.7579934602768604,0.6176032999603979,0.23890628309934897,1.020421366703481,0.21199404952027337,0.08856176121576029,0.2982222287059175,0.2516487107513051,0.5535187748570729,0.568771896469495,0.6402174585733021,0.49186882344899846,0.7825827644675631,0.07488785714287768,1.07570547035122,1.0651754357438254,0.3382106794849208,0.3778566304591019,0.6230855472635766,0.9833824360974728,0.21371679968485238,0.666066533885153,0.5667646624811054,0.5515435566522012,0.8281241720402288,0.5363251617956238,1.089575406908,0.5926199776008122,1.1120122741964567,1.6839927344742143,1.0995526017602917,2.54599496040703,3.95580769053488,0.96490974795356,10.22530832232295
2025-05-07_20-17-52-632,6.808951197229277,11.318108032387697,0.9577791932255771,3.31378802432061,1.5532019751371462,1.0298249267015425,0.4535807391693059,1.775046928045375,0.4425833796352143,0.9230932008888814,0.32312940779796717,0.740485739071395,0.7133395840750205,0.30804030945700955,1.0532792881107664,0.3026998177554152,0.6735081894453845,0.354996675089427,0.626005221609087,0.7454345261443025,0.6762479598238907,0.420787583586286,0.5436679485086934,0.2864347878299163,0.6921877113712818,0.48564983290907704,0.20892674538274103,0.18464158270370845,0.7135622112700392,0.8189744223544199,0.29139859393144796,0.5477819253680015,0.26972932033800107,0.5256044962790385,0.4872459928062523,0.3219930039950865,1.0674249959011848,0.3633335710618539,0.15057893791992716,0.32594972226680546,0.7541673485180008,0.8989371511168465,0.4823810572191099,0.7207281769315762,0.278946478589918,0.1896450482571913,1.078808163844807,0.7545301651591545,1.0385630848677418,0.7077073690033294,1.0410447710113233,0.25139464749263046,0.7438791564423941,1.1221092323053439,0.8548782431205111,1.0216195752386004,0.8972490511148994,0.8490165769052364,1.2024435010854506,0.678014798431429,2.36797159411201,3.5921071795932065,1.308159066790625,9.404135976685042
2025-05-07_20-17-52-657,9.999536122053362,4.860732100617411,4.094335043407781,1.3126237025808114,2.3189334871342706,0.4346570892405263,1.0102636569463321,0.22305575722597457,0.48920220233163997,2.9135041269800466,0.5615872287265755,0.8234090219528528,1.4626463153426645,1.3208027561540925,0.7880551166172529,0.9702074128178781,1.2113154652071443,0.49629344032459355,1.3834369205323165,1.541299764434588,0.5829827284362257,0.6099847563586915,0.15917996636159096,0.3450863662370847,0.8693340809746057,0.48697905973268873,0.7854942029880925,0.5937794106219596,0.4922788557765442,0.4254983099941394,0.9384380044715788,1.2537965168445238,0.9134947488902166,0.6325300476080805,0.9148132275997847,0.6425610484450225,0.7131494779025738,0.8238875651170895,0.930860300569274,1.2987447932830947,0.4109553871576246,0.8198887705761194,0.8782940454249653,0.7088622445056835,0.4253649145181894,0.9774806497750772,0.6820239988022322,0.2412014380659903,0.9059805633952641,1.2418081137078152,0.5986811667191453,0.44643387299922116,1.19433671665893,0.9076473313084913,0.49332343205613205,0.4786857875121608,1.3736216293637917,0.9193377369058429,0.18114543833529445,0.4162383174035321,0.8172274615226759,2.661393996047349,7.718836161233478,4.199719558215862
2025-05-07_20-17-52-665,10.911319112079209,5.734240857671055,4.518489418216198,2.155815686693533,1.3144989250755945,0.9192518801396051,0.06428944511513719,0.5521479778280874,1.107187127173906,0.8816743049548162,0.21251387283626227,0.6603974597860239,1.0979407468881788,1.450353915590266,0.8914952438402972,0.6152333032345546,1.2660107436846657,1.0667721788338782,0.7434181235393541,0.7319203773057906,0.8232514572385835,0.5844090923531079,0.39635369961873473,0.9808859319102743,0.23630324603348152,0.9989593212495081,0.40562348045308333,0.751078337231208,0.5193809146185044,1.33840896858658,0.712216899204326,0.4446285225413751,0.12597277731716483,1.1104136994058131,0.787799320963632,0.4866038975696319,0.5637100599780858,0.4204159704083949,0.642200899787726,1.1411947382668408,0.9428057908023227,0.24799453123854578,0.564479628697047,0.35369058023088684,0.3625449031407102,0.5588124168848451,0.36982076894119653,0.4637099291752922,0.536963758669987,0.47628009641420704,0.2879418454769792,0.3301792408832911,0.7719562940407692,0.7621419126321991,0.2682644399142568,1.8873829735146124,0.7956919125289889,1.3063918431605657,0.2418272406436467,0.8407979499814906,2.0053080717334604,2.0004160430340545,6.547570301202751,5.58746778068398
